City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lázaro Cárdenas,17.9583,-102.2,81.19,62,21,9.15,MX,1671047860
San Marcos,33.1434,-117.1661,63.54,47,28,4.0,US,1671047860
Port Elizabeth,-33.918,25.5701,67.32,94,0,4.61,ZA,1671047683
Bethel,41.3712,-73.414,36.9,60,0,5.01,US,1671047861
Provideniya,64.3833,-173.3,15.91,67,75,8.95,RU,1671047861
Marrakesh,31.6315,-8.0083,59.07,94,75,14.97,MA,1671047621
Tarakan,3.3,117.6333,77.18,86,100,5.08,ID,1671047705
Sabang,5.8933,95.3214,75.78,90,100,10.76,ID,1671047862
Poya,-21.35,165.15,77.05,72,0,2.95,NC,1671047692
Arrecife,28.963,-13.5477,71.58,64,20,2.3,ES,1671047862
Tiznit Province,29.5833,-9.5,62.8,80,100,4.52,MA,1671047862
Atuona,-9.8,-139.0333,78.19,76,84,15.55,PF,1671047863
Samarinda,-0.5,117.15,72.55,97,93,2.13,ID,1671047863
Torbay,47.6666,-52.7314,40.15,97,75,4.61,CA,1671047864
Te Anau,-45.4167,167.7167,60.24,77,51,0.85,NZ,1671047864
Pangkalanbuun,-2.6833,111.6167,72.73,98,97,2.51,ID,1671047864
Hokitika,-42.7167,170.9667,63.19,72,100,1.43,NZ,1671047865
Winsum,53.33,6.5208,35.58,78,70,6.51,NL,1671047865
Troitsko-Pechorsk,62.7084,56.1964,19.81,75,29,11.88,RU,1671047866
Iqaluit,63.7506,-68.5145,26.33,80,75,9.22,CA,1671047866
Kadoma,34.7333,135.5833,42.78,60,0,10.36,JP,1671047867
Burns Lake,54.2331,-125.7533,9.82,85,83,2.26,CA,1671047867
Raudeberg,61.9875,5.1352,29.86,59,100,7.87,NO,1671047867
Pyn U Lwin,22.0333,96.4667,58.23,89,5,1.23,MM,1671047868
Maniitsoq,65.4167,-52.9,20.35,75,100,8.75,GL,1671047868
Emerald,-23.5333,148.1667,68.34,44,98,12.71,AU,1671047869
Nome,64.5011,-165.4064,-0.89,91,40,6.15,US,1671047869
Praia da Vitória,38.7333,-27.0667,56.75,76,75,25.79,PT,1671047869
Kawalu,-7.3817,108.2082,72.52,96,100,1.41,ID,1671047870
Brookhaven,31.5791,-90.4407,67.66,85,100,14.34,US,1671047870
Salto,-31.3833,-57.9667,93.36,34,0,7.0,UY,1671047814
Liverpool,53.4106,-2.9779,29.82,84,0,9.22,GB,1671047623
Dunedin,-45.8742,170.5036,55.8,96,100,0.78,NZ,1671047871
Flin Flon,54.7682,-101.865,19.24,79,100,6.91,CA,1671047685
Olafsvik,64.8945,-23.7142,27.9,50,99,11.95,IS,1671047871
Ridgecrest,35.6225,-117.6709,50.65,40,0,1.01,US,1671047678
Souillac,-20.5167,57.5167,75.58,88,75,8.05,MU,1671047872
Dolores,-36.3132,-57.6792,93.22,17,99,10.76,AR,1671047872
Lloydminster,53.2835,-110.0016,23.22,86,100,10.36,CA,1671047872
Asău,46.4333,26.4,31.28,63,100,4.05,RO,1671047873
Leh,34.1667,77.5833,16.27,35,1,0.25,IN,1671047873
Warah,27.4481,67.7978,64.65,35,0,1.59,PK,1671047874
Altay,47.8667,88.1167,-3.73,69,26,8.52,CN,1671047874
Walvis Bay,-22.9575,14.5053,65.35,82,55,10.36,NA,1671047737
Teya,60.3778,92.6267,-5.98,99,100,1.79,RU,1671047875
Leer,8.3018,30.1418,80.65,27,2,4.29,SS,1671047875
Tukan,53.8409,57.4552,5.27,93,64,4.61,RU,1671047876
São Félix do Xingu,-6.6447,-51.995,82.81,71,88,3.0,BR,1671047877
Novobelokatay,55.7062,58.9549,6.24,87,7,5.57,RU,1671047877
Whitehorse,60.7161,-135.0538,29.17,80,100,14.97,CA,1671047877
Kendari,-3.945,122.4989,75.18,94,100,3.76,ID,1671047878
Yamada,39.4667,141.95,30.0,62,13,7.76,JP,1671047878
Suffolk,40.8668,-72.7996,40.03,58,0,20.38,US,1671047879
Tigil',57.8,158.6667,20.88,87,100,5.5,RU,1671047879
Atbasar,51.8,68.3333,-1.37,85,4,11.92,KZ,1671047879
Mossamedes,-15.1961,12.1522,68.34,76,58,4.76,AO,1671047880
Santa Cruz de la Sierra,-17.8,-63.1667,91.45,55,75,6.91,BO,1671047658
Saint-Philippe,-21.3585,55.7679,76.59,83,51,10.49,RE,1671047880
College,64.8569,-147.8028,-9.53,100,79,2.66,US,1671047881
Formosa,-26.1775,-58.1781,90.97,36,0,6.91,AR,1671047881
Fayaoué,-20.65,166.5333,78.84,68,48,7.23,NC,1671047882
Tombouctou,20.0,-3.0,75.76,13,0,6.04,ML,1671047882
Sémbé,1.6481,14.5806,73.15,79,35,1.61,CG,1671047883
Priargunsk,50.3691,119.1012,-40.36,97,28,2.3,RU,1671047883
Selfoss,63.9331,-20.9971,14.04,70,100,7.43,IS,1671047884
Pangai,-19.8,-174.35,75.31,88,75,8.05,TO,1671047884
Peruíbe,-24.32,-46.9983,74.48,57,0,6.91,BR,1671047834
Xai-Xai,-25.0519,33.6442,76.26,85,55,8.21,MZ,1671047885
Ugoofaaru,5.6667,73.0,80.04,76,93,4.21,MV,1671047885
Fare,-16.7,-151.0167,79.27,79,43,17.67,PF,1671047885
Lagoa,39.05,-27.9833,58.19,58,98,28.12,PT,1671047886
Narsaq,60.9167,-46.05,8.44,61,0,8.3,GL,1671047886
Westport,41.1415,-73.3579,39.49,52,0,8.01,US,1671047859
Ngunguru,-35.6167,174.5,66.61,92,67,6.04,NZ,1671047887
Esim,4.8699,-2.2405,79.65,83,3,8.88,GH,1671047887
Broken Hill,-31.95,141.4333,51.67,50,0,14.72,AU,1671047662
Rājāpur,25.3833,81.15,58.19,41,0,7.11,IN,1671047888
Puerto Escondido,15.85,-97.0667,83.77,60,5,9.78,MX,1671047627
Methóni,36.8197,21.7049,62.22,90,87,12.71,GR,1671047888
Amapá,1.0,-52.0,81.46,64,100,2.62,BR,1671047889
Bereket,39.2446,55.5154,48.49,48,98,5.3,TM,1671047889
Norman Wells,65.282,-126.8329,-2.16,84,75,4.61,CA,1671047890
Lake Cowichan,48.825,-124.0546,41.13,86,81,0.87,CA,1671047890
Bay Roberts,47.5999,-53.2648,40.91,98,100,1.01,CA,1671047890
Sitka,57.0531,-135.33,44.49,81,100,9.22,US,1671047891
Ancud,-41.8697,-73.8203,59.65,73,10,10.51,CL,1671047891
Cedartown,34.0537,-85.255,46.33,96,100,11.5,US,1671047892
Constitución,-35.3333,-72.4167,68.49,57,5,19.64,CL,1671047892
Sochi,43.6,39.7303,46.49,91,100,2.77,RU,1671047892
Camaná,-16.6228,-72.7111,73.47,78,93,6.73,PE,1671047893
Portland,45.5234,-122.6762,44.87,87,40,6.91,US,1671047772
Pacific Grove,36.6177,-121.9166,56.39,64,23,8.99,US,1671047870
Sola,-13.8833,167.55,81.28,69,14,12.1,VU,1671047893
Arrondissement de Libourne,44.9167,-0.25,52.3,90,83,6.73,FR,1671047894
San Jerónimo,-11.9472,-75.2829,61.74,52,98,5.3,PE,1671047894
Kannur,11.8675,75.3576,74.05,91,38,4.16,IN,1671047894
Kirkenes,69.7271,30.0458,17.82,85,75,2.3,NO,1671047895
Winnemucca,40.973,-117.7357,31.37,79,15,4.03,US,1671047785
Vao,-22.6667,167.4833,74.59,61,0,3.24,NC,1671047896
Kemijärvi,66.7131,27.4306,9.21,97,97,1.03,FI,1671047896
Saskylakh,71.9167,114.0833,-18.18,95,89,7.58,RU,1671047897
Ambon City,-3.6954,128.1814,77.23,15,40,4.61,ID,1671047897
San Rafael del Sur,11.8485,-86.4384,86.97,49,32,11.16,NI,1671047898
Tautira,-17.7333,-149.15,80.06,78,100,17.6,PF,1671047612
Byron Bay,-28.65,153.6167,64.71,78,99,7.0,AU,1671047899
Bereda,43.2686,-7.5406,52.41,97,100,4.43,ES,1671047899
Ile-Ife,7.4667,4.5667,75.0,56,97,3.0,NG,1671047899
Muisne,0.6,-80.0333,77.11,77,96,10.4,EC,1671047900
Watsa,3.0372,29.5355,63.03,94,51,2.17,CD,1671047900
Arman',59.7,150.1667,-2.6,93,100,17.49,RU,1671047900
Dali,25.7,100.1833,43.41,87,2,4.68,CN,1671047611
Mopipi,-21.1833,24.8833,83.1,43,12,1.83,BW,1671047901
Port Lincoln,-34.7333,135.8667,57.45,62,99,13.29,AU,1671047901
Bukama,-9.2,25.85,68.65,95,100,1.72,CD,1671047902
Vila Velha,-20.3297,-40.2925,76.95,72,75,14.97,BR,1671047719
Port Hedland,-20.3167,118.5667,77.05,94,16,4.61,AU,1671047683
Kenai,60.5544,-151.2583,22.14,95,100,6.91,US,1671047903
San Vicente,-26.6167,-54.1333,87.28,31,22,2.68,AR,1671047903
Awjilah,29.1081,21.2869,66.04,45,0,1.7,LY,1671047738
Korla,41.7597,86.1469,23.25,49,2,9.4,CN,1671047903
Thai Binh,20.45,106.3333,61.68,61,5,5.01,VN,1671047904
Kieta,-6.2167,155.6333,78.78,82,100,3.6,PG,1671047904
Saint-Augustin,51.226,-58.6502,36.41,81,100,25.26,CA,1671047905
Lakes Entrance,-37.8811,147.981,49.15,80,41,12.08,AU,1671047905
Porto-Novo,6.4965,2.6036,80.31,79,72,8.7,BJ,1671047905
Iberia,29.9502,-91.7507,62.67,80,96,22.39,US,1671047906
Santa Rosa,14.3122,121.1114,78.78,91,77,8.81,PH,1671047906
Necochea,-38.5473,-58.7368,78.89,39,99,15.12,AR,1671047907
Forsytheganj,52.6333,29.7333,15.22,97,58,5.95,BY,1671047907
Kununurra,-15.7667,128.7333,80.58,83,78,3.44,AU,1671047821
Muros,42.7762,-9.0603,55.83,92,100,12.71,ES,1671047615
Kavieng,-2.5744,150.7967,81.93,76,99,7.99,PG,1671047908
Pergamino,-33.89,-60.5736,98.19,9,0,9.8,AR,1671047908
Slavyanka,42.8633,131.3847,10.74,52,29,15.93,RU,1671047909
Port-Gentil,-0.7193,8.7815,80.56,83,20,3.44,GA,1671047909
Chapais,49.7834,-74.8492,24.58,90,7,5.46,CA,1671047909
Pierre,44.3683,-100.351,29.32,89,100,28.77,US,1671047910
Ola,59.5833,151.2833,2.64,76,100,22.39,RU,1671047910
Marsaxlokk,35.8419,14.5431,66.07,88,0,9.22,MT,1671047668
Severnoye,56.3491,78.3619,-18.71,99,31,4.25,RU,1671047911
Solnechnyy,50.7214,136.6319,4.15,91,100,3.29,RU,1671047911
La Gomera,14.0833,-91.05,85.26,60,22,7.4,GT,1671047911
Ambilobe,-13.2,49.05,76.86,77,84,3.11,MG,1671047912
Tasiilaq,65.6145,-37.6368,6.58,61,35,9.78,GL,1671047912
Dickinson,29.4608,-95.0513,68.16,44,20,11.5,US,1671047690
Sabha,27.0377,14.4283,65.7,35,0,0.98,LY,1671047913
East Brainerd,34.9959,-85.1502,47.98,95,100,5.75,US,1671047913
Arrondissement de Clermont,49.5,2.4167,29.84,71,100,6.38,FR,1671047914
Laguna,38.421,-121.4238,55.06,71,20,1.01,US,1671047914
Luanda,-8.8368,13.2343,78.8,83,75,8.05,AO,1671047897
Labuan,5.2767,115.2417,79.16,88,20,0.0,MY,1671047915
Kjøpsvik,68.097,16.3742,21.07,94,100,4.79,NO,1671047915
Tatarsk,55.219,75.9828,-17.27,99,14,3.56,RU,1671047915
Palana,59.1167,159.9667,19.9,83,100,9.8,RU,1671047916
Jacmel,18.2342,-72.5347,87.64,67,11,6.04,HT,1671047916
Kutum,14.2,24.6667,63.82,19,4,9.26,SD,1671047917
Pekan,3.4836,103.3996,75.31,95,100,3.62,MY,1671047917
Pomuch,20.1333,-90.1833,95.59,31,7,8.12,MX,1671047917
Southbridge,42.0751,-72.0334,36.73,65,0,4.0,US,1671047889
Bilma,18.6853,12.9164,71.65,14,0,6.17,NE,1671047918
Merrill,45.1805,-89.6835,32.04,93,100,1.99,US,1671047919
Ilulissat,69.2167,-51.1,15.3,77,100,7.87,GL,1671047830
Kandrian,-6.2167,149.55,76.77,88,100,6.78,PG,1671047919
Omboué,-1.5746,9.2618,77.4,85,94,3.65,GA,1671047920
Bossangoa,6.4926,17.4552,78.04,20,9,2.89,CF,1671047920
Arucas,28.1198,-15.5233,68.83,76,50,17.27,ES,1671047624
Sholokhove,47.6945,34.0312,30.83,66,30,7.47,UA,1671047921
Bantogon,6.5333,124.0333,76.28,86,99,4.5,PH,1671047921
Manado,1.487,124.8455,75.97,94,40,3.44,ID,1671047922
Changping,40.2186,116.2197,19.04,34,0,6.87,CN,1671047922
Waterloo,43.4668,-80.5164,30.78,74,100,9.22,CA,1671047750
Akhmeta,42.0311,45.2075,37.92,72,100,2.68,GE,1671047922
Makakilo City,21.3469,-158.0858,77.68,70,68,10.36,US,1671047923
Grand Gaube,-20.0064,57.6608,75.6,84,25,1.01,MU,1671047923
Novyy Buh,47.6931,32.5216,28.63,65,96,8.12,UA,1671047924
Saint George,37.1041,-113.5841,46.63,49,1,3.0,US,1671047924
Inhambane,-23.865,35.3833,80.58,83,20,5.99,MZ,1671047925
San Ramon,37.7799,-121.978,52.93,71,51,1.01,US,1671047645
Khani,41.9563,42.9566,38.77,73,81,5.88,GE,1671047840
Ciudad Sabinas Hidalgo,26.5,-100.1667,69.64,25,0,8.39,MX,1671047925
Slave Lake,55.2834,-114.769,21.18,93,100,3.44,CA,1671047812
San Jose,37.3394,-121.895,56.43,69,0,4.61,US,1671047926
Vila Franca do Campo,37.7167,-25.4333,57.61,62,83,21.92,PT,1671047756
Carroll,39.5501,-77.0164,40.03,53,0,3.44,US,1671047926
Guiratinga,-16.3494,-53.7583,87.01,49,100,6.82,BR,1671047927
Tocache,-8.1842,-76.5125,87.31,56,98,3.0,PE,1671047927
Tiarei,-17.5333,-149.3333,84.22,79,100,17.27,PF,1671047927
Kamenka,51.3223,42.7678,25.66,93,100,5.53,RU,1671047928
Broome,42.2506,-75.833,31.35,69,76,4.0,US,1671047928
Fairbanks,64.8378,-147.7164,-9.51,100,77,2.46,US,1671047929
Belyy Yar,53.6039,91.3903,-9.51,100,75,0.0,RU,1671047929
Padang,-0.9492,100.3543,76.55,78,100,2.77,ID,1671047929
Isla Vista,34.4133,-119.861,62.83,73,68,2.68,US,1671047930
Singaparna,-7.3515,108.111,71.78,95,100,0.4,ID,1671047930
Nemuro,43.3236,145.575,26.28,52,3,28.99,JP,1671047930
Lata,40.1629,-8.3327,54.07,96,91,6.06,PT,1671047931
Mareeba,-17.0,145.4333,73.44,94,19,1.9,AU,1671047931
Cockburn Town,21.4612,-71.1419,80.56,57,40,4.61,TC,1671047840
Rybinsk,58.0446,38.8426,16.77,94,84,9.62,RU,1671047775
Warrnambool,-38.3833,142.4833,53.01,70,100,15.37,AU,1671047932
Mehamn,71.0357,27.8492,15.75,86,0,5.75,NO,1671047932
Acajutla,13.5928,-89.8275,82.96,63,27,7.74,SV,1671047932
Prince Rupert,54.3161,-130.3201,38.89,86,100,3.44,CA,1671047933
Muriwai Beach,-36.8167,174.45,65.43,97,98,9.51,NZ,1671047933
Guerrero Negro,27.9769,-114.0611,62.06,45,0,8.39,MX,1671047934
Naryan-Mar,67.6713,53.087,14.56,82,6,19.69,RU,1671047934
